artDate,year,intern_id,content
01/04-01/09,110,2,"這禮拜除了每天加強英文,閱讀商業週刊等,也開始找了幾家公司,可能學校實習生轉職的人數也開始慢慢增加,學校也新增了一些廠商可以選擇,但大多還是服務業,但當中有幾家婚禮顧問公司,感覺也是很不錯的選擇,目前心裡已有幾家選擇,但有的時候真的還是得向現實低頭,並且做最壞的打算,因此選了幾家服務業,山不轉路轉,路不轉人轉,碰到這種狀況大概也只能轉換心態,也不斷告訴自己撐完這學期就沒事了,但這大概就是人生,總會碰到挫折,不管怎樣我還是相信自己的能力,相信最後一定能找到適合我的工作"
01/11-01/15,110,2,"這禮拜去面試了星巴克,選擇星巴克的原因主要有幾個,第一個是他是大公司,因此基本該有的勞健保,時數應該都會合乎法規,再來這也是高度會接觸人群的一個職業,但可能之前一直在準備的面試內容都是在應對公司主管或人資的方式,反而在面試服務業上面有點碰到小挫折,但這對我來說其實也是一個學習的內容,畢竟他們問的一些問題,我連想都沒想過,經過這次面試其實也提醒了我一件事,就是在我這個年紀應該甚麼都要學,不應該放棄任何一個學習機會,這樣才有機會成為一個更好的人"
01/18-01/22,110,2,"這禮拜去了巨匠美語面試,選擇巨匠的原因是想說,也許有機會接觸到招生的工作內容,一來可以增加接觸客群的機會,這是我上一份沒辦法碰到的,二來可以磨練自己的業務能力,面試的地點在北車的旗艦分校,在跟人資面試的過程都還算順利,且人資的談吐很溫柔讓人感覺很安心,在面試的時候他也介紹了公司的一些訓練制度,基本福利等等,且也提到說實習生如果也談成一筆,也可以抽成,跟正職是一樣的,這也給我了一些對未來的期待,如果能順利進去,我想這應該會是一個良好的實習經驗"
01/25-01/29,110,2,"這禮拜接到了巨匠的錄取通知,本來的計畫是多去面試幾家,但考慮到時間的緊迫,再晚一些可能會影響到實習時數的問題,所以還是選擇了接受這份工作,但同時也放下了心中的大石頭,目前收到的通知是說,會被分配到士林分校,雖然本來期待的是在新店分校服務,因為離家很近,但士林還算是一個可以接受的距離,時間的話統一年後2/17號開工,也就是說大概還有兩個禮拜多的空窗期,這段時間我應該會去研究一下補教業這項產業怎麼運作,也希望之後可以順利實習到結束,順利畢業,"
02/01-02/05,110,2,"這禮拜在家搜尋了很多補教業的資訊,才發現原來補教業的市場比我想像的還要大,尤其台灣的家長普遍都是雙薪家庭,因此很多父母都會把小孩送去補習班,不但可以提升成績,還可以省去照顧的時間,雖然去年疫情初期的爆發,讓很多補教業的業績都很慘淡,但還好台灣的防疫很成功,基本上只要有做好量體溫跟消毒,學生都還是會來上課,除了基本措施做得好,現在許多產業也發展線上工作的模式,補教業當然也不例外,雖然線上課程從以前就有,但現在對補教業來說反而也漸漸成為一種趨勢"
02/08-02/12,110,2,"上禮拜寫週記的時候提到了線上教學的模式,這禮拜也針對了不管是線上工作、面試、開會、課程,甚至是展覽、演唱會等等做了一些調查與研究,我覺得這次疫清真的改變了整個世界的運作模式,讓人類的生活越來越走向虛擬化,更依賴電子產品,因此連帶很多的電子類上市櫃公司的股票都漲價,特別是台灣人對台積電股票的漲幅應該是最有感的,往虛擬化的生活模式走雖然很便利,但畢竟隔著螢幕還是會少了點溫度的感覺,也許在不久後的將來,”實體”反而會成為一種賣點"
02/14-02/20,110,2,"這禮拜是正式上班的第一週,大概認識了一下環境還有工作內容,我負責的職位是班務管理,跟我想像得差異不大,但要學的東西真的挺多的,光是系統操作就有點複雜,並且這週主管有特別跟我講解了一下美語的課程內容,全部講完大概就花了兩個小時,課程的架構大概分為六層,每一層又有分很細的類別,目的就是為了能幫學員安排最適合他的課程,也是我之後主要的工作之一,再來就是一些電話邀約的技巧,這也是一門很深奧的學問,畢竟正常人接到補習班的電話一開始意願可能都不大,於是話術技巧就很重要,主管跟我說再接起來的15秒就可以判定能不能成功約到這個人,下禮拜也會針對邀約技巧來做訓練"
02/21-02/27,110,2,"這禮拜三去了巨匠美語的新人訓練,地點在北車總部,偷偷觀察了一下現場的新人年紀都比我大,上午的時間大概簡短的介紹了一下課程還有一些談業務的案例分享,收穫還蠻多的,印象最深刻的是區主管分享自己碰到過一個客戶,在談的時候雖然客戶的行為有點怪,但還不至於太誇張,也算是順利談完,簽約,離開之後過了沒有多久,又看到他回來並且帶著他父親,父親一進來就把一本手冊丟到桌上,是一本殘障手冊,主管這時說,只要領有手冊的人,任何的簽約行為在法律上都不算數,主管接著分享他對父親說的話,他說今天孩子好不容易有想要走出來學習的心,但第一個碰到的阻饒竟然是自己家長,這會是多大的打擊,並繼續說道,今天就算您不來我們這邊上課,我一樣希望告訴您,在孩子的學習成長路上我們應該給予支持並傾聽溝通,聽到這邊我其實蠻感動,也許這份職業是靠推銷課程賺錢,但能給予的幫助涵蓋的範圍不只是單純上課而已"
02/28-03/06,110,2,"這禮拜主管積極針對我”過問卷”這項技能做強化,我們在每個客戶來訪的時候,都會請客戶進會議室,並用一對一聊天的方式來大概了解他的背景,藉此推敲出他的學習動機,目標等等,也能了解客戶對進修外語能夠接受的價格,並了解他能上課的時間等等,這對我來說算是蠻大的挑戰,畢竟我的性格沒辦法對每一個人都能這麼有好奇並充滿熱情,除非是剛好碰到跟我興趣相同的人,雖然我現在主要負責的工作是行政還不用接觸到談客戶的部分,但主管意思是還是希望我能稍微具備這種能力,以備不時之需,至少不會在沒有人手的情況下讓客戶乾等,我也蠻認同的,在這個年紀能吸收就盡量吸收吧"
03/07-03/13,110,2,"上禮拜針對”過問卷”這項技能做訓練,這禮拜也一樣在進行訓練,剛好這禮拜下午的時候有一位客戶進來詢問課程,是一為年輕女子,看上去大概大我3~4歲,因為當下所有的人手上都有事情再忙,因此主管要求我進去過問卷,了解他的需求,進去之前很緊張,進去之後更緊張,除了本身我很菜之外,那位學員的態度也是冷冷的,沒什麼反應,整個問卷過完大概才三分鐘我就出來了,雖然基本的需求有了解到,但跟正常的流程比還是太快,還是無法拉近我跟客戶之間的距離,這對我來說算是目前碰到最大的挑戰,希望之後能越來越進步"
03/14-03/20,110,2,"這禮拜進行了為期三天的新人訓練,地點在北車的旗艦分校,這三天資訊量算是非常大,從公司簡介、人事規章,再到課程內容、產品、問卷等等,其實三天的時間真的很難完整吸收,不過我覺得巨匠還不錯的是對員工的教育訓練很完整,且每個人都能使用公司內部的EMAIL,區主管也說,如果有任何問題,除了詢問主管,也可以透過EMAIL連絡他,有薪資或勞健保上的疑問不但可以從公司內部網站查詢,也可以EMAIL給HR,這在我前一份工作是完全不可能得到的,雖然目前工作上還是有點不適應,但公司制度我給很高的評價"
03/21-03/27,110,2,"這禮拜除了做基本的工作之外,還加入的新的工作,就是為我服務的分校設計一些簡單的文宣,像是偏向有趣課程的英語俱樂部,或是多益模擬考的文宣等等,因為之前畢業專題的時候有參與一些美編的設計,所以其實設計這類的文宣沒什麼問題,除了設計文宣等等,之後我也要負責一個人班宣,也就是在同學上課前或下課後進去做個簡單的宣傳,告訴學生目前我們有在進行的一些優惠或是活動等等,目前來說工作上除了實際與客戶接觸之外,沒有碰到甚麼太困難的問題,希望可以這樣順利實習下去"
03/28-04/03,110,2,"這禮拜開始總公司宣布每家分校每個月都要辦行銷活動,並且會有兩千塊的餘額可以使用,主管的意思是說要辦抽獎,並詢問我的意見,剛好之前在製作畢業專題的時候也有為我們合作的廠商舉辦抽獎活動等等,因此我與主管分享了我之前的經驗,於是主管就將文宣,美編,活動內容等等都交給我處理,雖然不是甚麼很難的事情,但還好有之前的經驗,因此這次接到的工作也是順順利利的將它完成,並且之後每個月的活動沒有意外也是我會負責,我想雖然我沒有到很喜歡這份實習工作,但多多少少還是能從這份實習工作的細節當中得到一些成就感"
04/04-04/10,110,2,"這禮拜有公司舉辦的校園講座,在我們士林分校,學生是文化大學美術系的同學,去問了同仁之後才知道公司有一個專門的部門是專門接洽學生的,像是學生需要辦活動或是成果發表等等需要資金,就可以跟這個部門聯繫,公司可能會規定需要同學拉30個人來聽講座,然後同學就可以獲得三千台幣的報酬,但目前觀察下來,其實這些同學想學英文的意願不大,大部分都只是為了社團或系上的活動而來參加,不過其實只要講座有一位同學報名,那公司其實也能回本,看得出來公司很想將客群拓展到學生上面,尤其是大學,但老實說巨匠在大學裡風評真的是不太好"
04/11-04/17,110,2,"這禮拜的十五號本來要新人回訓,就是回總公司做結訓,但卻因為感冒外加上咳嗽很厲害,因此主管叫我不要去,畢竟現在疫情雖然趨緩了一些,但是在持續的咳嗽下還是不要去造成恐慌比較好,畢竟會議室還是處於密閉空間,這個月我的上早班的天數也提高了不少,但有幾天晚班接早班是真的比較累,晚班十點下班,回家一個小時,早上九點半要上班,再連續這種排班下我在想可能是因為這樣造成抵抗力低導致感冒,但我有跟主管反應過,之後應該比較不會有這種連續排班的情況"
04/18-04/24,110,2,"這禮拜主要的工作都是在幫新生排課,新生報名的時候會有老師幫忙測程度,從初階的LEVEL1到最高階LEVEL6,每個階級能上的課都不一樣,越往上難度越高,除了基本的會話課程,還有很多的副修課程可以選,像是LEVEL1副修能選自然發音,幫助同學再程度較基礎的時候能狗矯正發音,養成習慣,看到單字就會念,LEVEL3的時候能上旅遊美語,從買機票到CHECK IN,搭機,到當地旅行,回程一條龍的學習,學完之後短期的自助旅行是OK的,LEVEL5的等級能上CNN聽力訓練,外師會針對CNN不同的主題作探討,讓同學能習慣母語人士講話的速度,因此再幫同學排課的時候.除了要了解學員的狀況,還要熟習一到六階的課程,其實還蠻不容易的"
04/25-05/01,110,2,"這禮拜是之前做行銷活動的抽獎日,原本以為參加的人數不會很多,但看抽獎箱裡的票券卻比我預期的還多,表示這次的活動還是有起到一定的效果,除了用公司配的餘額買了一台空氣香氛機+精油做禮物,主管還自掏腰包買了其他禮物,但比較可惜的是抽獎當下我在教室看課,沒有當下參與,不過事後看直播的紀錄,反應都還蠻不錯的,之後每個月都會有類似的活動,希望可以帶動我們士林分校的人氣,主管也問我實習結束後有沒有要繼續待著,畢竟離當兵可能還要一段時間,我的想法是在畢業到當兵的這段空窗期衝刺英文能力,期望自己多益能考個750,因此婉拒了她,但這段時間在這裡實習還是給我留下了很美好的回憶"
04/25-05/01,110,2,從一開始到現在累積了不少的經驗，涵蓋的範圍其實也很多，包括電話行銷、過客戶身份了解需求、介紹課程、課程安排、協助同仁與外籍老師溝通，甚至是分校的行銷活動發想，ＤＭ設計等等都一手包辦，雖然有很多事情但是真的也讓我學到很多東西，即使待的產業歸類為補教業，但這些不同的工作卻讓我了解到自己未來志向的無限可能性，可能也是因為在上一份工作的經驗，不管是好的或是不好的，再到現在這份工作實習，都讓我了解到一件事，所謂的實習，除了提早進入職場能適應畢業之後工作的模式，更可以提早讓我思考關於未來要做一輩子的工作是甚麼，因為不管是任何工作多多少少都會接觸到不同的工作或是能觀察到不同產業運作的模式，也可以認識跟多在業界待過的人聽他們分享他們的經驗，對我來說這才是實習最重要的意義。
04/25-05/01,110,2,這段實習期間印象最深刻的事除了疫情的二度爆發之外，工作上就是我獨自與客戶洽談了吧。正常我們顧問上班的時間是下午一點半，所以我們在約客戶的時候通常也是約下午，人手也比較充足，而像是班務大多數都是早上一個人上班，因此這段期間我也碰過兩個客戶在上午顧問不在的時段就來，那當然就是我一個人進去談，從一開始過問卷了解需求，到呼叫線上老師讓同學體驗上課模式，最後再介紹課程等等，都由我一個人完成，不可否認的是真的很緊張，因為一個人上班，主管同事都不在，也不能即時的做詢問，所以其實這一系列的過程都會有點卡卡的，也深怕客戶會有其他地方不了解，不過還好最後都沒這些問題，但因為去年實習發生的一些問題導致我這份實習的期間比較短，不然我想在給我多一點時間，我應該也能很流利的做完這些事。
04/25-05/01,110,2,關於前面提到過問卷了解需求，呼叫線上老師讓同學體驗，再到介紹課程，其實還有最後一個步驟，就是報價，報價這件事情我認為也是最重要的，畢竟價格高低絕對會是影響客戶想不想要買的一件因素，且報價的方式及內容裡面也有很多的技巧，每個人在報價所使用的話術也都不太一樣，但我想礙於我是實習生也可能是因為我待的時間還不夠長，所以主管一直以來都沒有讓我對顧客做報價這件事，畢竟報價報的不好是絕對會影響成交率的，這我倒是可以理解，因此如果時間還允許的話，我還想學習的事情就是報價。
11/02-11/06,109,3,10/31-11/2是實體旅展的日期，各大飯店真的都是推出了好多好康的優惠，公司這次真的是忙翻了，看著業務部接不完的電話，看著行銷部一直不斷確認事情，看著採購部忙著開會還要跟廠商追加東西，看著財務部也是接不完的電話、出不完的票卷，各單位都卯足全力在旅展這件事情上面，覺得自己身在這個團隊裏感到很榮幸，新聞每天都再跟進各家飯店的兢爭情況，而我們老爺一直位居榜首，看到老闆居然擔心起財務部票卷出不完的情況趕緊請其他各部門協助幫忙，還派出了自己的秘書，真的是一件挺令我難忘的小插曲。
11/09-11/13,109,3,這週一如往常繼續去財務部幫忙出票卷、包票卷、寄票卷，因為每份都是要寄保值的現金袋不可馬虎，我都覺得郵局看到我的時候，他們都很緊張，因為數量太多，增加了他們很多的工作量，這週除了去財務部幫忙之外，也需要經常回到櫃台做一些日常的工作事項，兩周以來，每天上班都覺得自己有個目標努力的那種感覺，很棒，很喜歡這種氛圍，每天回家也都比較好睡，比較遺憾的是，因為老爺旗下的飯店推出的組合優惠各館都不一樣，有時候客人的問題還需要尋找，除了體力，還很考驗邏輯跟記憶力。
11/16-11/20,109,3,剛忙完旅展，這週開始招開各館2021的預算會議了，好像會有一段時間要因為這件事情而忙碌，各館總經理向董事會成員報告未來一年的規劃，真的是在一旁把長官們送進去，就覺得他們好辛苦喔，往後看會議室的預約情況，一週起碼安排3場預算會，持續大概3週左右的時間，開會前的佈置，開會中的茶水，開會後的收拾，都很不容易，只有親身經歷過才會有那種超乎平常的感覺，無論是工作人員或是開會的長官，都讓我感到相當佩服。
11/23-11/27,109,3,一樣是個忙碌的一週，最近開會比較多，大家看到我都會和我道說一句：「辛苦囉」，有一次一連開了兩個館的，中間僅10分鐘的時間進行換場，緊張之餘還是努力地有效率完成，毛澤東曾說「虛心使人進步，驕傲使人落後」，這句話使我印象深刻。在實際的生活當中，常聽到同輩的抱怨：“工作很累，錢掙的很少”，簡單說就是心委屈了，真的很開心老爺這個文化下，很常聽到辛苦了、謝謝、請問，簡單的話語，可以讓人感覺備受尊重。
11/30-12/04,109,3,終於，這週開完最後一場預算會議，學到最重要的，就是實務經驗，能夠走出校園，脫離舒適圈，走進真正的社會中，不僅學習到相關工作能力與技巧，更重要的是能夠身處職場上，如何建立良好的互動關係，提升個人的人際溝通與協調能力，甚至能夠積極的參與工作內容，以充實自身能力，我認為自己這次真的收穫豐碩。覺得蠻酷的是，對於飯店業的經營稍微會有些概念，連帶也充實了相關的專業知識與經驗，這對未來的我增添了一筆豐富的履歷。
12/07-12/11,109,3,12月開始，走在外面的街道上到處都瀰漫著聖誕節的氣息，就連辦公室，也擺出了一棵聖誕樹，趁著這個特別的節日，我們館也默默地開啟小天使小主人的遊戲，逐一的走進辦公室，讓大家抽籤，看看自己要默默對誰好，這個遊戲也讓我整個12月都在忙碌中度過，因為我是坐櫃台，又是這個遊戲的主辦者之一，不得已知道了很多的機密，大家都會來委託我幫他們轉交自己的小卡或是小零食給所屬的那一位，透過這個遊戲，也增添了自己在館內的價值，很好玩很有趣，充實而快樂。
12/14-12/18,109,3,這週行政的事物比較多，持續的再論公司的聖誕節活動，除了小天使小主人還可以玩什麼花樣，加上當天活動該如何進行，挺有趣的是，我每天幫大家送小東西，自己也收到了很多小東西，大家就說，很謝謝你，這給你吃，然後我都會受寵若驚的再三確認，這是給我的嗎，有點不敢相信，而後彼此都覺得好笑，到底是有多不相信這是給你的，真的很開心呀～越來越期待聖誕趴踢的那天，大家跟自己的小天使小主人相認的場景了，偷偷說，有些人還開始捉弄別人呢！（搞冒充）哈哈！
12/21-12/25,109,3,終於到了最重要的一週，12月在做的事情，幾乎都是為了那一天！因為算是公司名正言順的福利之一，當天也會將中業、南業的同事一同請上來同樂，活動費用也獲得了福委會的贊助，餐點直接去好事多扛回來，挺壯觀的，整車的計程車後面都被放滿，當天最意外的事情是，原本預定下午就開趴，但因為早上資訊在進行防火牆升級，整個公司的網路，一下有一下沒有，無法好好的辦公，大家索性直接在辦公室聊天起來，提早開趴了！下午的趴踢自己覺得真的辦的挺好的，相認現場大家笑整場，阿我也跑整場，最意外的是，連長官都相當熱衷於這個遊戲！我真的太佩服了！明年有留任的話，一定要在玩一次！直接變成聖誕節的傳統似乎不賴。
12/28-12/30,109,3,好好的收尾今年、為明年做準備，這週氣溫直降，難得在城市裡也能有個位數的溫度出現，最冷的那天剛好回學校跟同學取暖，也是不錯溫馨！經過半年的實習生活，其實也大概習慣了這樣的生活步調，學校就快要成為往事了，每次回來都有在倒數的感覺，有點感傷，卻也開心我的朋友們都有在好好的上班、好好的實習，新的一年，想做出一些成績來，剛好今年運動會在五月，在實習結束前，想好好的辦好它。
03/30-04/02,110,3,新年的第一週就好多會議要開，用日常的瑣碎事來開啟新一年的工作生活，喜歡上班時這種忙而充實的感覺，跟大家越來越熟悉也越來越得心應手工作的事物了，眼看實習也只剩五個月，這五個月我可以做些什麼增加自己的履歷呢，現在的我暫時想先放下這些想法專心的做好眼前的事物了，計畫總是感不上變化的，知道自己還有很多不足的，就慢慢地去累積工作經驗跟工作方法吧！ 
01/11-01-15,110,3,好快就要過年了，可以感受到各單位都相當忙碌，比起上個月的忙又是不同的忙，農曆年前要完成、要處理的事情更是多到不行，光是每天外出送公文就知道，公文厚厚一袋，相當重，內部除了努力消滅代辦事項，還努力批了一堆審核出來，每天都好充實~而我也都在思考運動會該如何舉辦，還有月底的慶生會，都在默默的蒐集資料蒐集情報中，很希望自己的想法可以被採納，一切都尚在努力中，給自己一個加油～
01/18-01/22,110,3,因為上週六日，剛好再進行年度的檢修，上周五下班前大家都用報紙把自己的辦公桌罩起來，施工會有多的灰塵，果然周一上班，就是先進行自已區域的整理，再來公共區域，會議室整理都是我負責的，一個上午跑來跑去就腳酸了，實習生活一周一周的過去了，作為一名即將畢業的大學生，我實習的目的很明確，就是獲取工作經驗，在很多的耳濡目染之下，漸漸地我對公司的整個操作流程有了一個較完整的了解，儘管崗位職能與所學專業仍有較大的差距，仍然是拓寬了自己的知識面。
